City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Jose Da Coroa Grande,BR,73.13,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
1,Saint-Philippe,RE,67.59,clear sky,-21.3585,55.7679,Le four à pain
4,Adrar,MR,85.8,broken clouds,20.5022,-10.0711,
5,Sao Filipe,CV,75.69,light rain,14.8961,-24.4956,Hotel Xaguate
9,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
10,Nouadhibou,MR,70.3,scattered clouds,20.931,-17.0347,El Medina
12,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
14,Jamestown,US,74.79,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Tukrah,LY,78.08,clear sky,32.5341,20.5791,Lagrota restaurant
17,Bandarbeyla,SO,79.0,scattered clouds,9.4942,50.8122,JABIR HOTEL
21,Ribeira Grande,PT,74.03,clear sky,38.5167,-28.7,Quinta da Meia Eira
26,Ponta Delgada,PT,66.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
27,Mana,GF,76.53,broken clouds,5.6592,-53.7767,LE SAMANA
28,Jumla,NP,69.94,overcast clouds,29.2747,82.1838,Royal Garden Hotel
29,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
37,Jiran,IN,82.56,few clouds,24.3167,74.8833,अनमाेल होटल
38,Kudahuvadhoo,MV,81.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
39,Ondarroa,ES,65.37,few clouds,43.3167,-2.4167,Hotel Arbe
41,Caravelas,BR,69.48,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
42,Toktogul,KG,74.17,broken clouds,41.8708,72.9402,KAGAN
45,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
46,Touros,BR,72.48,few clouds,-5.1989,-35.4608,INN NEW HORIZON
48,Turbat,PK,84.79,overcast clouds,26.0023,63.044,Mubashar Quarters
49,Agogo,GH,65.28,overcast clouds,6.8,-1.0819,"Ebenezer Hostel, Agogo"
51,Biltine,TD,73.83,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
53,Meulaboh,ID,79.47,overcast clouds,4.1363,96.1285,Kost Pria
54,Le Port,RE,68.25,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
56,Baglung,NP,71.49,light rain,28.2719,83.5898,Hotel Peace Palace
57,Zabid,YE,85.33,overcast clouds,14.1951,43.3152,مغرب التريبه
58,Kayes,ML,73.08,moderate rain,14.0,-11.0,
60,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
61,Arraial Do Cabo,BR,70.14,clear sky,-22.9661,-42.0278,Pousada Porto Praia
62,Belmonte,BR,70.72,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
66,Dingle,PH,86.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
68,Cockburn Town,TC,82.6,clear sky,21.4612,-71.1419,Osprey Beach Hotel
69,Bengkulu,ID,81.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Cahir,IE,66.15,overcast clouds,52.3769,-7.9217,Cahir House Hotel
71,Urucui,BR,75.11,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
72,Garissa,KE,70.99,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
73,Bahia Honda,CU,79.61,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
74,Atyrau,KZ,75.22,clear sky,47.1167,51.8833,River Palace Hotel
76,Zanzibar,TZ,71.15,light rain,-6.1639,39.1979,Tembo House Hotel
77,Port-Gentil,GA,75.06,scattered clouds,-0.7193,8.7815,Fengshui Residence
78,Maragogi,BR,72.64,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
79,Lagoa,PT,73.51,broken clouds,39.05,-27.9833,Casa Das Faias
81,Mahebourg,MU,67.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Inongo,CD,70.32,overcast clouds,-1.95,18.2667,Hotel Du Lac
84,Jalu,LY,76.98,clear sky,29.0331,21.5482,صاحبة الفخامة
87,Sinnamary,GF,76.48,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
88,Malartic,CA,66.31,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
91,Ajaccio,FR,71.65,clear sky,42.0,8.9167,Sole E Monte
92,Bria,CF,66.49,overcast clouds,6.5423,21.9863,WFP Guesthouse
93,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
94,Ochamchira,GE,74.55,overcast clouds,42.7121,41.4721,Resort on Papaskiri 76
95,Hithadhoo,MV,80.83,broken clouds,-0.6,73.0833,Scoop Guest House
96,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
99,Podor,MR,82.35,clear sky,16.6527,-14.9587,Auberge Du Tékrour
101,Inhambane,MZ,67.98,scattered clouds,-23.865,35.3833,Oceano
102,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
105,Saint-Joseph,RE,66.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
107,Kalmunai,LK,80.53,overcast clouds,7.4167,81.8167,VS Villa
108,Tete,MZ,69.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
109,Llanes,ES,69.98,clear sky,43.4198,-4.7549,Hotel La Paz
114,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
117,Hobyo,SO,76.35,clear sky,5.3505,48.5268,Iftin hotel hobyo
118,Carnarvon,AU,67.01,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
119,Gao,ML,84.13,overcast clouds,16.6362,1.637,
120,Kikwit,CD,74.61,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
122,La Romana,DO,79.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
124,Jamkhandi,IN,77.83,light rain,16.5167,75.3,Hotel Shreyas
128,Shelburne,CA,68.79,clear sky,44.0787,-80.2041,The Retreat at the Farm
131,Marsh Harbour,BS,81.88,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
134,Puerto Leguizamo,CO,71.74,overcast clouds,-0.1934,-74.7819,la casona de juancho
136,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
137,Matadi,CD,66.92,few clouds,-5.8167,13.45,Hotel Vivi Palace
138,Bubaque,GW,79.0,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
142,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
144,Sompeta,IN,88.38,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
145,Xuddur,SO,68.63,clear sky,4.1213,43.8894,Banjanay Hotel
147,Quelimane,MZ,67.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
148,Mahibadhoo,MV,82.35,overcast clouds,3.7833,72.9667,Omadhoo Inn
152,Ipameri,BR,67.64,scattered clouds,-17.7219,-48.1597,Real Hotel
153,Pleshanovo,RU,67.53,clear sky,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
155,Benjamin Aceval,PY,75.34,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
158,Bilma,NE,83.07,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
162,Soubre,CI,69.6,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
163,Ilesha,NG,67.82,overcast clouds,7.1371,5.2583,Tosap Guest House
167,Mahoba,IN,89.02,overcast clouds,25.2833,79.8667,"Hotel, Restaurant and Guest House"
168,Cusuna,HN,75.63,scattered clouds,15.85,-85.2333,San Francisco de la paz
171,Pospelikha,RU,74.93,scattered clouds,51.95,81.7667,
174,Asfi,MA,76.41,scattered clouds,32.2994,-9.2372,Hôtel Abda
175,Bambous Virieux,MU,68.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
